nom_commune,nom,siren,code_naf,tranche_effectif,latitude,longitude,adresse,cp_entreprise
Saint-Egrève,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Saint-Egrève,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Saint-Egrève,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
Rives,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Rives,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Rives,SNCF RESEAU,412280737,52.21Z,53,,,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200
Rives,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Rives,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Rives,OGF SERVICES FUNERAIRES,828160069,96.03Z,02,,,IMMEUBLE CANOPY 6 RUE DU GENERAL AUDRAN 92400 COURBEVOIE,92400
Rives,SNCF VOYAGEURS,519037584,49.10Z,53,,,1 RUE CAMILLE MOKE 93210 SAINT-DENIS,93210
Rives,MCDONALD'S FRANCE,722003936,68.20B,NN,,,Z I 1 RUE GUSTAVE EIFFEL 78280 GUYANCOURT,78280
Rives,ENGIE,542107651,35.23Z,51,,,67 RUE JULES FERRY 92250 LA GARENNE-COLOMBES,92250
Rives,AMPLIFON FRANCE,318083110,47.74Z,42,,,9 BOULEVARD ROMAIN ROLLAND 75014 PARIS,75014
Roussillon,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Roussillon,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Roussillon,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Roussillon,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Roussillon,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
Roussillon,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
Roussillon,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Roussillon,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
Roussillon,SNCF VOYAGEURS,519037584,49.10Z,53,,,1 RUE CAMILLE MOKE 93210 SAINT-DENIS,93210
Roussillon,CREDIT LYONNAIS,954509741,64.19Z,53,,,18 RUE DE LA REPUBLIQUE 69002 LYON,69002
Tullins,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Tullins,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Tullins,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Tullins,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Tullins,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
Tullins,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Tullins,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
Tullins,OGF SERVICES FUNERAIRES,828160069,96.03Z,02,,,IMMEUBLE CANOPY 6 RUE DU GENERAL AUDRAN 92400 COURBEVOIE,92400
Tullins,ENEDIS,444608442,35.13Z,53,,,4 PLACE DE LA PYRAMIDE 92800 PUTEAUX,92800
Tullins,SODEXO SANTE MEDICO SOCIAL,338253081,56.29A,52,,,6 RUE DE LA REDOUTE 78280 GUYANCOURT,78280
La Tour-du-Pin,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
La Tour-du-Pin,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
La Tour-du-Pin,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
La Tour-du-Pin,SNCF RESEAU,412280737,52.21Z,53,,,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200
La Tour-du-Pin,CROIX ROUGE FRANCAISE,775672272,88.99B,53,,,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014
La Tour-du-Pin,BNP PARIBAS,662042449,64.19Z,53,,,16 BOULEVARD DES ITALIENS 75009 PARIS,75009
La Tour-du-Pin,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
La Tour-du-Pin,ORANGE,380129866,61.10Z,53,,,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130
La Tour-du-Pin,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
La Tour-du-Pin,SNCF VOYAGEURS,519037584,49.10Z,53,,,1 RUE CAMILLE MOKE 93210 SAINT-DENIS,93210
Moirans,LA POSTE,356000000,53.10Z,53,,,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015
Moirans,ELECTRICITE DE FRANCE,552081317,35.11Z,53,,,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008
Moirans,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,,,51 CHEMIN DES MECHES 94000 CRETEIL,94000
Moirans,SOCIETE GENERALE,552120222,64.19Z,53,,,29 BOULEVARD HAUSSMANN 75009 PARIS,75009
Moirans,SNCF RESEAU,412280737,52.21Z,53,,,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200
Moirans,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,,,20 RUE EUGENE FLACHAT 75017 PARIS,75017
Moirans,COMPASS GROUP FRANCE,632041042,56.29A,53,,,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240
Moirans,LIDL,343262622,47.11D,53,,,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290
Moirans,OGF SERVICES FUNERAIRES,828160069,96.03Z,02,,,IMMEUBLE CANOPY 6 RUE DU GENERAL AUDRAN 92400 COURBEVOIE,92400
Moirans,CREDIT LYONNAIS,954509741,64.19Z,53,,,18 RUE DE LA REPUBLIQUE 69002 LYON,69002
