nom_commune,nom,siren,code_naf,tranche_effectif,adresse,cp_entreprise,latitude,longitude,libelle_naf,libelle_tranche
VOREPPE,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.2861,5.6417,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
VOREPPE,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.2861,5.6417,Restauration collective sous contrat,10 000 salariés et plus
VOREPPE,MCDONALD'S FRANCE,722003936,68.20B,NN,Z I 1 RUE GUSTAVE EIFFEL 78280 GUYANCOURT,78280,45.2861,5.6417,Location de terrains et d'autres biens immobiliers,Unités non employeuses
VOREPPE,API RESTAURATION,477181010,56.29A,52,384 RUE DU GENERAL DE GAULLE 59370 MONS-EN-BARŒUL,59370,45.2861,5.6417,Restauration collective sous contrat,5 000 à 9 999 salariés
VOREPPE,SOGERES,572102176,56.29B,52,6 RUE DE LA REDOUTE 78280 GUYANCOURT,78280,45.2861,5.6417,Autres services de restauration n.c.a.,5 000 à 9 999 salariés
SASSENAGE,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.2141,5.6541,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
SASSENAGE,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.2141,5.6541,Production d'électricité,10 000 salariés et plus
SASSENAGE,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.2141,5.6541,Autres services de restauration n.c.a.,10 000 salariés et plus
SASSENAGE,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.2141,5.6541,Autres intermédiations monétaires,10 000 salariés et plus
SASSENAGE,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.2141,5.6541,Services auxiliaires des transports terrestres,10 000 salariés et plus
SASSENAGE,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.2141,5.6541,Autres intermédiations monétaires,10 000 salariés et plus
SASSENAGE,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.2141,5.6541,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
SASSENAGE,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.2141,5.6541,Télécommunications filaires,10 000 salariés et plus
SASSENAGE,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.2141,5.6541,Restauration collective sous contrat,10 000 salariés et plus
SASSENAGE,LIDL,343262622,47.11D,53,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290,45.2141,5.6541,Supermarchés,10 000 salariés et plus
